Pos,T,CH4,CO2,CO,O2,H2O,N2,Q
0.000000000000e+00,3.000000000000e+02,3.330139979428e-02,3.928682654152e-12,4.255689586564e-11,2.251530038063e-01,8.362673212354e-10,7.415455372430e-01,1.004809366310e+03
6.400000000000e-03,3.000002699452e+02,3.330136598807e-02,1.276927880644e-10,1.376005410764e-09,2.251529111213e-01,2.482732598289e-08,7.415451535625e-01,1.277210772714e-03
9.600000000000e-03,3.000033434196e+02,3.330116841766e-02,2.076463673721e-09,1.765978799556e-08,2.251525050447e-01,2.949031199768e-07,7.415437141668e-01,1.139460314335e-04
1.040000000000e-02,3.000110829559e+02,3.330081784827e-02,8.829241296460e-09,6.159122422204e-08,2.251519583708e-01,9.677259078146e-07,7.415423079255e-01,2.940128160238e-04
1.120000000000e-02,3.000469039277e+02,3.329942764273e-02,5.031790639426e-08,2.775752973714e-07,2.251500559350e-01,4.053106927121e-06,7.415390305134e-01,1.740442238610e-03
1.140000000000e-02,3.000761626375e+02,3.329837891821e-02,9.403196539379e-08,4.637244396944e-07,2.251486625205e-01,6.552839884153e-06,7.415374082969e-01,3.608489705585e-03
1.160000000000e-02,3.001319475491e+02,3.329645106398e-02,1.939444504338e-07,8.320788629556e-07,2.251460620406e-01,1.129253794338e-05,7.415350415008e-01,8.947470677331e-03
1.180000000000e-02,3.002382856766e+02,3.329288470839e-02,4.222631157763e-07,1.560874861262e-06,2.251411057552e-01,2.027765553501e-05,7.415314847466e-01,2.584915262952e-02
1.190000000000e-02,3.003275742202e+02,3.328995432374e-02,6.464145670209e-07,2.192595309987e-06,2.251368917738e-01,2.778666560908e-05,7.415289782170e-01,4.729266389667e-02
1.200000000000e-02,3.004572748986e+02,3.328576076090e-02,1.014472649918e-06,3.133113904483e-06,2.251306757623e-01,3.865455352958e-05,7.415257469639e-01,9.060970184880e-02
1.210000000000e-02,3.006456319596e+02,3.327975518181e-02,1.618665470074e-06,4.533071265174e-06,2.251214793067e-01,5.437939004895e-05,7.415215477732e-01,1.800392891432e-01
1.220000000000e-02,3.009190772935e+02,3.327115095528e-02,2.610106431102e-06,6.616238273943e-06,2.251078435858e-01,7.712254182256e-05,7.415160528406e-01,3.676086418997e-01
1.230000000000e-02,3.013158526339e+02,3.325882205519e-02,4.236084230378e-06,9.714605217820e-06,2.250875953359e-01,1.099970414015e-04,7.415088215819e-01,7.653885754887e-01
1.240000000000e-02,3.018911779011e+02,3.324115967846e-02,6.900547336170e-06,1.431983267506e-05,2.250575017877e-01,1.574755389656e-04,7.414992645069e-01,1.614969515757e+00
1.250000000000e-02,3.027245648907e+02,3.321587166465e-02,1.126164043873e-05,2.115815246609e-05,2.250127655852e-01,2.259611626807e-04,7.414865984111e-01,3.435508463461e+00
1.255000000000e-02,3.032809977546e+02,3.319914263053e-02,1.448037985667e-05,2.581705416341e-05,2.249822349044e-01,2.715211209381e-04,7.414787078199e-01,5.060510992190e+00
1.260000000000e-02,3.039613944517e+02,3.317882063654e-02,1.871757390260e-05,3.159853757211e-05,2.249442860090e-01,3.270753899321e-04,7.414695209411e-01,7.501222590145e+00
1.265000000000e-02,3.047928217034e+02,3.315414830219e-02,2.429091883621e-05,3.876838740233e-05,2.248971371265e-01,3.947603406852e-04,7.414588283975e-01,1.117552058523e+01
1.270000000000e-02,3.058079909387e+02,3.312421608925e-02,3.161448626606e-05,4.765292664405e-05,2.248385937881e-01,4.771420585686e-04,7.414463922364e-01,1.671447413152e+01
1.275000000000e-02,3.070463091485e+02,3.308793530016e-02,4.122635526902e-05,5.865161313131e-05,2.247659614366e-01,5.772900311894e-04,7.414319446483e-01,2.506901493898e+01
1.280000000000e-02,3.085550657414e+02,3.304400793956e-02,5.382324361714e-05,7.225167312207e-05,2.246759436667e-01,6.988575028668e-04,7.414151880730e-01,3.766717834526e+01
1.285000000000e-02,3.103907441580e+02,3.299089385864e-02,7.030339085187e-05,8.904481563765e-05,2.245645257977e-01,8.461661529183e-04,7.413957975634e-01,5.664277742933e+01
1.287500000000e-02,3.114567112143e+02,3.296020044997e-02,8.043603077201e-05,9.891012336371e-05,2.244989442624e-01,9.314106604558e-04,7.413849762921e-01,6.957260738126e+01
1.290000000000e-02,3.126365230442e+02,3.292634288240e-02,9.210951941346e-05,1.099179442926e-04,2.244256646635e-01,1.025517961072e-03,7.413733286710e-01,8.553339536253e+01
1.292500000000e-02,3.139418500012e+02,3.288900816800e-02,1.055523993929e-04,1.221963095105e-04,2.243438109984e-01,1.129356344185e-03,7.413608026821e-01,1.052331918249e+02
1.295000000000e-02,3.153848872166e+02,3.284787153551e-02,1.210162461624e-04,1.358804389806e-04,2.242524560393e-01,1.243822987156e-03,7.413473488756e-01,1.295346954733e+02
1.297500000000e-02,3.169794210984e+02,3.280256587915e-02,1.387952266269e-04,1.511246053212e-04,2.241505413249e-01,1.369926772589e-03,7.413329152018e-01,1.595010780973e+02
1.300000000000e-02,3.187397396515e+02,3.275271357626e-02,1.592110085420e-04,1.680905005583e-04,2.240369551304e-01,1.508699330435e-03,7.413174541826e-01,1.964209645248e+02
1.301250000000e-02,3.196883372093e+02,3.272591674518e-02,1.705513249599e-04,1.772901279219e-04,2.239752955861e-01,1.583290673731e-03,7.413093149742e-01,2.180297519722e+02
1.302500000000e-02,3.206856924457e+02,3.269779036950e-02,1.827240438630e-04,1.870038830140e-04,2.239101410351e-01,1.661574762326e-03,7.413008947870e-01,2.420476754810e+02
1.305000000000e-02,3.228333544574e+02,3.263737292556e-02,2.097375670764e-04,2.080523754860e-04,2.237688062412e-01,1.829688084515e-03,7.412832006524e-01,2.982416815704e+02
1.307500000000e-02,3.251984736398e+02,3.257105072309e-02,2.406617521976e-04,2.314208842898e-04,2.236116771830e-01,2.014124501329e-03,7.412643486373e-01,3.673007301284e+02
1.310000000000e-02,3.278004153137e+02,3.249831849429e-02,2.760172524223e-04,2.573387779533e-04,2.234371711482e-01,2.216216955176e-03,7.412443096894e-01,4.520639172079e+02
