Pos,T,H2,O2,N2,H2O,Q
0.000000000000e+00,3.000000000000e+02,2.461826480401e-02,2.271753971553e-01,7.482063380408e-01,-1.278365964586e-16,-1.400344044963e+00
6.400000000000e-03,2.999999999998e+02,2.461826475522e-02,2.271753971693e-01,7.482063380757e-01,-5.825820461763e-14,-3.235306736814e-04
1.120000000000e-02,3.000000001326e+02,2.461825975170e-02,2.271753985893e-01,7.482063416592e-01,-4.329552780010e-14,5.027260636291e-07
1.280000000000e-02,3.000000067320e+02,2.461812877934e-02,2.271754357581e-01,7.482064354613e-01,1.100971710906e-12,3.152113474481e-04
1.340000000000e-02,3.000001352172e+02,2.461677077122e-02,2.271758211072e-01,7.482074080793e-01,3.465656858116e-11,7.643988738379e-03
1.355000000000e-02,3.000007249327e+02,2.461334692762e-02,2.271767924285e-01,7.482098603288e-01,2.652733340722e-10,7.467659959740e-02
1.360000000000e-02,3.000018314989e+02,2.460944086319e-02,2.271779000695e-01,7.482126580298e-01,8.861095005116e-10,4.094052448451e-01
1.365000000000e-02,3.000054996787e+02,2.460080403394e-02,2.271803475722e-01,7.482188441108e-01,3.704059841363e-09,2.485878529267e+00
1.367500000000e-02,3.000105184529e+02,2.459256347917e-02,2.271826802953e-01,7.482247460526e-01,8.850902930246e-09,7.957689660527e+00
1.370000000000e-02,3.000213480465e+02,2.457933448125e-02,2.271864196865e-01,7.482342194086e-01,2.310087619491e-08,2.580055784128e+01
1.372500000000e-02,3.000447196293e+02,2.455810004045e-02,2.271924083765e-01,7.482494202734e-01,6.254323975240e-08,8.472090180021e+01
1.373750000000e-02,3.000665578693e+02,2.454266583646e-02,2.271967479889e-01,7.482604627234e-01,1.084015277353e-07,1.663980200086e+02
1.375000000000e-02,3.001010484595e+02,2.452256593229e-02,2.272023797660e-01,7.482748326252e-01,1.947790052028e-07,3.299237325667e+02
1.376250000000e-02,3.001555276787e+02,2.449639381133e-02,2.272096771934e-01,7.482935222273e-01,3.574440959613e-07,6.587976457300e+02
1.377500000000e-02,3.002415903336e+02,2.446232223332e-02,2.272191121555e-01,7.483178100168e-01,6.636847626049e-07,1.321900216622e+03
1.378750000000e-02,3.003775643450e+02,2.441798025771e-02,2.272312724103e-01,7.483493343578e-01,1.239991447608e-06,2.666981326116e+03
1.379375000000e-02,3.004751283764e+02,2.439080285889e-02,2.272386425656e-01,7.483685948433e-01,1.718607330650e-06,3.873173044490e+03
1.380000000000e-02,3.006009946411e+02,2.435954088592e-02,2.272470289359e-01,7.483906817788e-01,2.407994345296e-06,5.658655166997e+03
1.380625000000e-02,3.007633770809e+02,2.432358779055e-02,2.272565425386e-01,7.484159838126e-01,3.400694551423e-06,8.323213644053e+03
1.380937500000e-02,3.008622343398e+02,2.430359058979e-02,2.272617629123e-01,7.484300032793e-01,4.060741235629e-06,1.015927029100e+04
1.381250000000e-02,3.009754315600e+02,2.428209731995e-02,2.272673105194e-01,7.484450241509e-01,4.865801332652e-06,1.243391877453e+04
1.381562500000e-02,3.011050479442e+02,2.425899815730e-02,2.272731952118e-01,7.484611094741e-01,5.847604649220e-06,1.526177703456e+04
1.381875000000e-02,3.012534632151e+02,2.423417565272e-02,2.272794242682e-01,7.484783243960e-01,7.044773001296e-06,1.878983867829e+04
1.382187500000e-02,3.014234006012e+02,2.420750429567e-02,2.272860014586e-01,7.484967357801e-01,8.504297782321e-06,2.320932384211e+04
