Pos,T,H2,O2,N2,H2O,Q
0.000000000000e+00,3.000000000000e+02,1.673716797834e-02,2.290109772537e-01,7.542518547669e-01,-2.671679641563e-16,-5.511231597773e+00
8.800000000000e-03,3.000000003518e+02,1.673713131025e-02,2.290109861772e-01,7.542518825120e-01,-7.971640973094e-14,-6.952790485988e-04
1.200000000000e-02,3.000000191320e+02,1.673623877220e-02,2.290112032967e-01,7.542525578990e-01,2.549212462766e-11,3.846366306592e-03
1.280000000000e-02,3.000002481958e+02,1.673111149295e-02,2.290124496007e-01,7.542564383859e-01,4.537580570534e-10,5.689972759213e-02
1.310000000000e-02,3.000014636449e+02,1.671756895039e-02,2.290157356223e-01,7.542666914677e-01,3.578596585061e-09,3.479393824406e-01
1.340000000000e-02,3.000114047255e+02,1.665940671204e-02,2.290298091080e-01,7.543107428544e-01,3.825379309828e-08,2.747911356329e+00
1.347500000000e-02,3.000250502676e+02,1.661494132538e-02,2.290405222183e-01,7.543444278320e-01,1.016408932664e-07,6.075954219742e+00
1.351250000000e-02,3.000410748087e+02,1.657899297903e-02,2.290491443743e-01,7.543716573434e-01,1.933824757583e-07,1.000598148313e+01
1.355000000000e-02,3.000715247687e+02,1.652827453018e-02,2.290612475699e-01,7.544100548854e-01,4.009664629393e-07,1.751336947546e+01
1.356250000000e-02,3.000877707594e+02,1.650673997950e-02,2.290663582897e-01,7.544263454784e-01,5.284144188420e-07,2.158761099865e+01
1.357500000000e-02,3.001088991991e+02,1.648226033855e-02,2.290721435952e-01,7.544448508261e-01,7.094906334625e-07,2.691085043061e+01
1.358750000000e-02,3.001363819971e+02,1.645443472787e-02,2.290786869967e-01,7.544658649237e-01,9.667450023389e-07,3.390527321539e+01
1.360000000000e-02,3.001721351452e+02,1.642280930464e-02,2.290860791856e-01,7.544897177848e-01,1.332178063193e-06,4.313458144016e+01
1.360625000000e-02,3.001940487016e+02,1.640537763636e-02,2.290901302255e-01,7.545028484584e-01,1.572529050290e-06,4.888541491758e+01
1.361250000000e-02,3.002192628088e+02,1.638675729230e-02,2.290944373937e-01,7.545168593357e-01,1.863395790867e-06,5.556583110595e+01
1.362500000000e-02,3.002810933270e+02,1.634571131640e-02,2.291038609493e-01,7.545476871671e-01,2.628411163831e-06,7.221582313698e+01
1.363125000000e-02,3.003190026714e+02,1.632309194401e-02,2.291090081622e-01,7.545646371678e-01,3.131454014844e-06,8.271020784595e+01
1.363750000000e-02,3.003626330489e+02,1.629893406207e-02,2.291144658119e-01,7.545827058480e-01,3.740110575423e-06,9.500211958535e+01
1.364375000000e-02,3.004128513289e+02,1.627313440487e-02,2.291202469351e-01,7.546019605343e-01,4.476506362775e-06,1.094502826196e+02
1.365000000000e-02,3.004706563907e+02,1.624558302527e-02,2.291263638062e-01,7.546224712140e-01,5.367384806207e-06,1.264883163777e+02
1.365625000000e-02,3.005371993344e+02,1.621616291039e-02,2.291328275443e-01,7.546443103201e-01,6.445064791652e-06,1.466505317518e+02
1.366250000000e-02,3.006138067960e+02,1.618474958508e-02,2.291396476210e-01,7.546675524224e-01,7.748594438762e-06,1.706026554113e+02
1.366875000000e-02,3.007020078416e+02,1.615121070515e-02,2.291468312476e-01,7.546922738051e-01,9.325140456598e-06,1.991826209617e+02
1.367500000000e-02,3.008035649856e+02,1.611540564230e-02,2.291543826064e-01,7.547185518703e-01,1.123165998245e-05,2.334582268271e+02
1.367812500000e-02,3.008601127459e+02,1.609659653961e-02,2.291582961618e-01,7.547323046431e-01,1.233455544383e-05,2.532438076829e+02
1.368125000000e-02,3.009209450585e+02,1.607715343153e-02,2.291623005616e-01,7.547464811593e-01,1.355276366182e-05,2.750493269262e+02
1.368750000000e-02,3.010564445907e+02,1.603630468449e-02,2.291705782926e-01,7.547761323918e-01,1.637080582127e-05,3.254952898403e+02
1.369062500000e-02,3.011319010590e+02,1.601484975266e-02,2.291748477777e-01,7.547916292235e-01,1.800062183154e-05,3.549166504136e+02
1.369375000000e-02,3.012130811554e+02,1.599267453877e-02,2.291792002571e-01,7.548075871482e-01,1.980050227548e-05,3.875746746350e+02
1.369687500000e-02,3.013004215760e+02,1.596975558047e-02,2.291836321046e-01,7.548240149076e-01,2.178811120139e-05,4.239059473582e+02
1.370000000000e-02,3.013943908766e+02,1.594606898400e-02,2.291881388611e-01,7.548409207217e-01,2.398287883176e-05,4.644126342821e+02
1.370312500000e-02,3.014954948451e+02,1.592158989892e-02,2.291927151362e-01,7.548583125261e-01,2.640628209027e-05,5.096765968840e+02
1.370625000000e-02,3.016042770278e+02,1.589629300306e-02,2.291973546199e-01,7.548761974360e-01,2.908194927129e-05,5.603745308185e+02
1.370937500000e-02,3.017213226182e+02,1.587015219529e-02,2.292020498257e-01,7.548945819908e-01,3.203593574775e-05,6.172972097967e+02
1.371250000000e-02,3.018472614438e+02,1.584314065979e-02,2.292067920012e-01,7.549134719483e-01,3.529695150644e-05,6.813715668489e+02
1.371562500000e-02,3.019827713427e+02,1.581523085873e-02,2.292115709788e-01,7.549328721655e-01,3.889662500862e-05,7.536876944581e+02
1.371875000000e-02,3.021285817887e+02,1.578639452632e-02,2.292163750114e-01,7.549527864677e-01,4.286979207488e-05,8.355316557586e+02
