Pos,T,CH4,CO2,CO,O2,H2O,N2,Q
0.000000000000e+00,3.000000000000e+02,1.066664329640e-02,1.734016444471e-07,2.956796365976e-07,2.294354580183e-01,1.912198357613e-05,7.557559701200e-01,-9.911431198097e+02
2.750000000000e-04,3.000562793500e+02,1.066643471524e-02,2.189305005810e-07,3.548398157019e-07,2.294370321734e-01,2.261342304739e-05,7.557697700140e-01,5.230833958474e-03
4.125000000000e-04,3.000878588367e+02,1.066630359492e-02,2.461751587068e-07,3.888548419315e-07,2.294377656626e-01,2.459789715072e-05,7.557768829525e-01,1.052333322340e-03
5.500000000000e-04,3.001220128979e+02,1.066615182305e-02,2.769926220432e-07,4.262679984367e-07,2.294384535242e-01,2.676319994744e-05,7.557841378521e-01,9.191466096276e-04
6.875000000000e-04,3.001589524066e+02,1.066597729521e-02,3.118506672283e-07,4.674180064203e-07,2.294390880620e-01,2.912575701976e-05,7.557915342215e-01,8.660998176362e-04
8.250000000000e-04,3.001989055896e+02,1.066577771115e-02,3.512781543526e-07,5.126772171295e-07,2.294396607321e-01,3.170347720256e-05,7.557990712025e-01,8.254482285339e-04
9.625000000000e-04,3.002421194606e+02,1.066555055712e-02,3.958729688857e-07,5.624549272472e-07,2.294401620568e-01,3.451588502617e-05,7.558067475321e-01,7.897543390072e-04
1.100000000000e-03,3.002888613706e+02,1.066529308665e-02,4.463109879800e-07,6.172010163183e-07,2.294405815300e-01,3.758426470274e-05,7.558145615020e-01,7.581194015385e-04
1.237500000000e-03,3.003394206872e+02,1.066500229969e-02,5.033562029500e-07,6.774099374814e-07,2.294409075133e-01,4.093181664986e-05,7.558225109154e-01,7.304990945724e-04
1.375000000000e-03,3.003941106107e+02,1.066467491987e-02,5.678721434612e-07,7.436250940850e-07,2.294411271222e-01,4.458382755404e-05,7.558305930392e-01,7.070221349106e-04
1.512500000000e-03,3.004532701397e+02,1.066430736983e-02,6.408347700635e-07,8.164436392529e-07,2.294412261003e-01,4.856785511740e-05,7.558388045538e-01,6.879085869596e-04
