Pos,T,CH4,CO2,CO,O2,H2O,N2,Q
0.000000000000e+00,3.000000000000e+02,2.781404945308e-02,6.906831318350e-10,2.725884052370e-09,2.264309875341e-01,7.438230090773e-08,7.457546196566e-01,1.171063901607e+04
1.600000000000e-03,3.000022061661e+02,2.781397138696e-02,3.154202998708e-09,1.013923678719e-08,2.264308771284e-01,2.595337338685e-07,7.457544202469e-01,1.145232659121e-01
3.200000000000e-03,3.000100051546e+02,2.781371529739e-02,1.441375532973e-08,3.770670448898e-08,2.264305286694e-01,9.052908257260e-07,7.457540046353e-01,1.169190209655e+00
4.800000000000e-03,3.000375064003e+02,2.781285651599e-02,6.601097188668e-08,1.404653077239e-07,2.264293473980e-01,3.158721453076e-06,7.457530615461e-01,6.873173736406e-01
6.400000000000e-03,3.001343740072e+02,2.780993407885e-02,3.021219689158e-07,5.230856166126e-07,2.264251180043e-01,1.102524210544e-05,7.457507309756e-01,1.337296988243e-01
7.200000000000e-03,3.002746074781e+02,2.780580961722e-02,7.374335203690e-07,1.105772427996e-06,2.264187560554e-01,2.231869549369e-05,7.457481226213e-01,8.372978871106e-02
8.000000000000e-03,3.005918398043e+02,2.779665854135e-02,1.951719259349e-06,2.482255482648e-06,2.264037541680e-01,4.768078949636e-05,7.457432242876e-01,5.828933098266e-02
8.800000000000e-03,3.013086985621e+02,2.777635474879e-02,5.334763060805e-06,5.730486833829e-06,2.263682688437e-01,1.045594171277e-04,7.457339255497e-01,5.871027007267e-02
9.600000000000e-03,3.029246692735e+02,2.773138510400e-02,1.473398470217e-05,1.337743015635e-05,2.262843158511e-01,2.317267184251e-04,7.457162732300e-01,1.231531406720e-01
9.800000000000e-03,3.036439987469e+02,2.771163854789e-02,1.968386744321e-05,1.690026242056e-05,2.262454309146e-01,2.879321641623e-04,7.457094155542e-01,1.720866012628e-01
1.000000000000e-02,3.045867673987e+02,2.768594550643e-02,2.681449971928e-05,2.160498930971e-05,2.261933211928e-01,3.612891106494e-04,7.457010716082e-01,2.546050464049e-01
1.020000000000e-02,3.058209639164e+02,2.765255221369e-02,3.707201549746e-05,2.788085218266e-05,2.261235572618e-01,4.568912438352e-04,7.456909545117e-01,3.945875820490e-01
1.040000000000e-02,3.074342782028e+02,2.760921378554e-02,5.180040362816e-05,3.623997754365e-05,2.260302848102e-01,5.812484760792e-04,7.456787417789e-01,6.336899140763e-01
1.050000000000e-02,3.084257185698e+02,2.758273253308e-02,6.155842589046e-05,4.145429548050e-05,2.259719195139e-01,6.573477276168e-04,7.456717086064e-01,8.138305198052e-01
1.060000000000e-02,3.095676728699e+02,2.755235381311e-02,7.341974049169e-05,4.752450706843e-05,2.259038171843e-01,7.447190555924e-04,7.456639799606e-01,1.053406091800e+00
1.070000000000e-02,3.108820115651e+02,2.751752957640e-02,8.782397961153e-05,5.458575280016e-05,2.258244116102e-01,8.449373066173e-04,7.456555039279e-01,1.372638517809e+00
1.080000000000e-02,3.123934736389e+02,2.747764270578e-02,1.052973703259e-04,6.279275434448e-05,2.257319050145e-01,9.597679790665e-04,7.456462294469e-01,1.798629152392e+00
1.090000000000e-02,3.141299475370e+02,2.743200072253e-02,1.264678124294e-04,7.232209307635e-05,2.256242405073e-01,1.091181432313e-03,7.456361081058e-01,2.367670457420e+00
1.100000000000e-02,3.161227482107e+02,2.737982969482e-02,1.520818251498e-04,8.337456664054e-05,2.254990735437e-01,1.241365262755e-03,7.456250965688e-01,3.128268635010e+00
1.110000000000e-02,3.184068854536e+02,2.732026844740e-02,1.830234304358e-04,9.617760090112e-05,2.253537426714e-01,1.412734374508e-03,7.456131596716e-01,4.145119547038e+00
1.120000000000e-02,3.210213034723e+02,2.725236355952e-02,2.203347585970e-04,1.109876072794e-04,2.251852409266e-01,1.607936971529e-03,7.456002744526e-01,5.504236105589e+00
1.125000000000e-02,3.224690128396e+02,2.721487690414e-02,2.418459766312e-04,1.192556691622e-04,2.250910010612e-01,1.715598636944e-03,7.455934650331e-01,6.350612477231e+00
1.130000000000e-02,3.240195872523e+02,2.717481030182e-02,2.655362127526e-04,1.281612922248e-04,2.249893682037e-01,1.830580148126e-03,7.455864086294e-01,7.332301762760e+00
1.135000000000e-02,3.256795348224e+02,2.713200640061e-02,2.916100527892e-04,1.377489785026e-04,2.248798169123e-01,1.953306159908e-03,7.455791073213e-01,8.470814978591e+00
1.140000000000e-02,3.274556644074e+02,2.708630096990e-02,3.202885859166e-04,1.480656708542e-04,2.247617923960e-01,2.084216219310e-03,7.455715650620e-01,9.790980148691e+00
1.145000000000e-02,3.293550845897e+02,2.703752294849e-02,3.518103059283e-04,1.591607964602e-04,2.246347099792e-01,2.223764019740e-03,7.455637879415e-01,1.132143756354e+01
1.150000000000e-02,3.313852004034e+02,2.698549454192e-02,3.864319960313e-04,1.710862985327e-04,2.244979547126e-01,2.372416470788e-03,7.455557844696e-01,1.309520256198e+01
1.155000000000e-02,3.335537075818e+02,2.693003137313e-02,4.244295857634e-04,1.838966546742e-04,2.243508811482e-01,2.530652575091e-03,7.455475658756e-01,1.515030689815e+01
1.160000000000e-02,3.358685841069e+02,2.687094268978e-02,4.660989676446e-04,1.976488803527e-04,2.241928132982e-01,2.698962106335e-03,7.455391464235e-01,1.753052912515e+01
1.165000000000e-02,3.383380788641e+02,2.680803163103e-02,5.117567603471e-04,2.124025160319e-04,2.240230447965e-01,2.877844085581e-03,7.455305437402e-01,2.028622262236e+01
1.170000000000e-02,3.409706972277e+02,2.674109555620e-02,5.617410045535e-04,2.282195966135e-04,2.238408392785e-01,3.067805056787e-03,7.455217791519e-01,2.347523923454e+01
1.172500000000e-02,3.423516629020e+02,2.670603566324e-02,5.884949358915e-04,2.365521741264e-04,2.237447719523e-01,3.167147847154e-03,7.455173424178e-01,2.525544089395e+01
1.175000000000e-02,3.437775054616e+02,2.666987203790e-02,6.164983210062e-04,2.451806474022e-04,2.236452375765e-01,3.269503977206e-03,7.455128735359e-01,2.717177579197e+01
1.177500000000e-02,3.452493921211e+02,2.663257698064e-02,6.458021570810e-04,2.541137722134e-04,2.235421319475e-01,3.374940168835e-03,7.455083762898e-01,2.923444317112e+01
1.180000000000e-02,3.467685028120e+02,2.659412250289e-02,6.764589879199e-04,2.633604552625e-04,2.234353490423e-01,3.483523216974e-03,7.455038547560e-01,3.145438399708e+01
1.182500000000e-02,3.483360293157e+02,2.655448034511e-02,7.085229164532e-04,2.729297508680e-04,2.233247810594e-01,3.595319911292e-03,7.454993133143e-01,3.384333720868e+01
1.185000000000e-02,3.499531742654e+02,2.651362199777e-02,7.420496123800e-04,2.828308567342e-04,2.232103184708e-01,3.710396950515e-03,7.454947566570e-01,3.641389678932e+01
1.187500000000e-02,3.516211501626e+02,2.647151872141e-02,7.770963199332e-04,2.930731098835e-04,2.230918500718e-01,3.828820859220e-03,7.454901897985e-01,3.917957479446e+01
1.190000000000e-02,3.533411782691e+02,2.642814156949e-02,8.137218607300e-04,3.036659817200e-04,2.229692630415e-01,3.950657898171e-03,7.454856180840e-01,4.215486794361e+01
1.192500000000e-02,3.551144874853e+02,2.638346141107e-02,8.519866357790e-04,3.146190730599e-04,2.228424430043e-01,4.075973975005e-03,7.454810471979e-01,4.535533095959e+01
1.195000000000e-02,3.569423129912e+02,2.633744895882e-02,8.919526199437e-04,3.259421076667e-04,2.227112741091e-01,4.204834539252e-03,7.454764831742e-01,4.879765445564e+01
1.197500000000e-02,3.588258953904e+02,2.629007478433e-02,9.336833663818e-04,3.376449286645e-04,2.225756390731e-01,4.337304521822e-03,7.454719323972e-01,5.249975097649e+01
1.200000000000e-02,3.607664792651e+02,2.624130934744e-02,9.772439961719e-04,3.497374914868e-04,2.224354192679e-01,4.473448228315e-03,7.454674016106e-01,5.648084702983e+01
1.202500000000e-02,3.627653118585e+02,2.619112302198e-02,1.022701188861e-03,3.622298574911e-04,2.222904947984e-01,4.613329246430e-03,7.454628979221e-01,6.076158327383e+01
1.205000000000e-02,3.648236417161e+02,2.613948612199e-02,1.070123170149e-03,3.751321872658e-04,2.221407445845e-01,4.757010353292e-03,7.454584288082e-01,6.536412329597e+01
1.207500000000e-02,3.669427172898e+02,2.608636892853e-02,1.119579696684e-03,3.884547336435e-04,2.219860464466e-01,4.904553423097e-03,7.454540021168e-01,7.031227174860e+01
1.210000000000e-02,3.691237855082e+02,2.603174171684e-02,1.171142037966e-03,4.022078344384e-04,2.218262771942e-01,5.056019335424e-03,7.454496260695e-01,7.563160217355e+01
1.212500000000e-02,3.713680903184e+02,2.597557478349e-02,1.224882955352e-03,4.164019049221e-04,2.216613127156e-01,5.211467884541e-03,7.454453092540e-01,8.134958913546e+01
1.213750000000e-02,3.725144811835e+02,2.594690171526e-02,1.252599562006e-03,4.236685126344e-04,2.215768318705e-01,5.290711346671e-03,7.454431756731e-01,8.436861847141e+01
1.215000000000e-02,3.736772834246e+02,2.591782935423e-02,1.280895501046e-03,4.310503376499e-04,2.214909926697e-01,5.370980411696e-03,7.454410601391e-01,8.749941814367e+01
1.217500000000e-02,3.760524655930e+02,2.585847776161e-02,1.339251697203e-03,4.461630892525e-04,2.213151985797e-01,5.534609321949e-03,7.454368882664e-01,9.410980875796e+01
1.220000000000e-02,3.784945997004e+02,2.579749736550e-02,1.400014775429e-03,4.617485875990e-04,2.211338305445e-01,5.702393637266e-03,7.454328035738e-01,1.012147353544e+02
1.221250000000e-02,3.797412979307e+02,2.576638415438e-02,1.431329895496e-03,4.697229223410e-04,2.210410047311e-01,5.787868632547e-03,7.454307968904e-01,1.049658191984e+02
1.222500000000e-02,3.810053333008e+02,2.573484937467e-02,1.463283587922e-03,4.778205335239e-04,2.209467244956e-01,5.874411051773e-03,7.454288156724e-01,1.088556302765e+02
1.225000000000e-02,3.835857317221e+02,2.567050653454e-02,1.529134133887e-03,4.943890091129e-04,2.207537605157e-01,6.050709687653e-03,7.454249352072e-01,1.170682296608e+02
1.227500000000e-02,3.862367149917e+02,2.560444703008e-02,1.597632413048e-03,5.114624150711e-04,2.205548391327e-01,6.231323485307e-03,7.454211731599e-01,1.258951683232e+02
