Pos,T,CH4,CO2,CO,O2,H2O,N2,Q
0.000000000000e+00,3.000000000000e+02,5.360012997870e-02,-7.192646290150e-12,-8.961365890432e-13,2.204252535878e-01,-2.933031115025e-13,7.259746164583e-01,-9.391816417880e+03
6.400000000000e-03,2.999999986320e+02,5.360012984159e-02,-4.246099390091e-11,-9.213887861223e-11,2.204252533291e-01,-2.769087362367e-11,7.259746151471e-01,-8.653063391310e-02
9.600000000000e-03,2.999999986189e+02,5.360012809137e-02,-4.246141521370e-11,-9.242815399627e-11,2.204252494891e-01,-2.936780730289e-11,7.259746011591e-01,-1.501058236604e-03
1.120000000000e-02,2.999999986216e+02,5.360011830214e-02,-4.246136620523e-11,-9.241302584784e-11,2.204252280390e-01,-2.951022049103e-11,7.259745230384e-01,-9.304760445155e-04
1.160000000000e-02,2.999999986486e+02,5.360010548235e-02,-4.246100774745e-11,-9.228151168425e-11,2.204251999529e-01,-2.718574240291e-11,7.259744207508e-01,-8.872658139188e-04
1.180000000000e-02,2.999999987243e+02,5.360009092143e-02,-4.245969364070e-11,-9.189816929593e-11,2.204251680572e-01,-2.051062914340e-11,7.259743045915e-01,-8.765665783277e-04
1.190000000000e-02,2.999999988463e+02,5.360007900958e-02,-4.245697785814e-11,-9.124898854036e-11,2.204251419713e-01,-9.764388754664e-12,7.259742095953e-01,-8.729970179685e-04
1.200000000000e-02,2.999999991482e+02,5.360006204210e-02,-4.244859558033e-11,-8.956790350979e-11,2.204251048285e-01,1.672754680437e-11,7.259740743446e-01,-8.704826160492e-04
1.210000000000e-02,2.999999998949e+02,5.360003786615e-02,-4.242272549898e-11,-8.521527471756e-11,2.204250519393e-01,8.193266897409e-11,7.259738817789e-01,-8.686227185772e-04
1.220000000000e-02,3.000000017410e+02,5.360000340178e-02,-4.234288540980e-11,-7.394605124401e-11,2.204249766204e-01,2.423204572894e-10,7.259736076036e-01,-8.670534408575e-04
