Pos,T,H2,O2,N2,H2O,Q
0.000000000000e+00,3.000000000000e+02,2.181813233354e-02,2.278275738186e-01,7.503542938482e-01,-4.375341229923e-17,-1.268568191692e+00
6.400000000000e-03,3.000000000046e+02,2.181813199448e-02,2.278275739104e-01,7.503542940955e-01,-1.653885171439e-14,-1.185395166742e-04
1.120000000000e-02,3.000000008400e+02,2.181810327581e-02,2.278275816834e-01,7.503543150409e-01,2.326680880408e-13,6.138953209282e-05
1.280000000000e-02,3.000000365969e+02,2.181748146881e-02,2.278277499536e-01,7.503547685589e-01,1.563574459654e-11,2.991878948022e-03
1.340000000000e-02,3.000006373348e+02,2.181212218028e-02,2.278291997116e-01,7.503586776491e-01,3.960033911678e-10,5.873719758609e-02
1.355000000000e-02,3.000030304781e+02,2.180074206655e-02,2.278322758546e-01,7.503669791285e-01,2.605143190519e-09,3.696181764534e-01
1.360000000000e-02,3.000070057535e+02,2.178936941848e-02,2.278353460870e-01,7.503752758635e-01,7.714185084593e-09,1.357042028896e+00
1.365000000000e-02,3.000189012577e+02,2.176663885227e-02,2.278414717077e-01,7.503918584425e-01,2.799376749072e-08,6.272446872319e+00
1.367500000000e-02,3.000337395904e+02,2.174676346955e-02,2.278468138724e-01,7.504063557655e-01,6.070933849137e-08,1.724741897961e+01
1.370000000000e-02,3.000633722313e+02,2.171697229673e-02,2.278547946635e-01,7.504280772406e-01,1.419734458575e-07,4.937925101940e+01
1.372500000000e-02,3.001225685789e+02,2.167233049098e-02,2.278666955528e-01,7.504605977825e-01,3.437635486425e-07,1.455733633036e+02
1.373750000000e-02,3.001743253700e+02,2.164167121238e-02,2.278748185496e-01,7.504829015457e-01,5.568425244687e-07,2.684009071981e+02
1.374375000000e-02,3.002098950778e+02,2.162348051168e-02,2.278796124379e-01,7.504961174961e-01,7.226027288453e-07,3.713706403758e+02
1.375000000000e-02,3.002543469306e+02,2.160302875591e-02,2.278849760197e-01,7.505109578011e-01,9.497551157807e-07,5.167483001018e+02
1.375625000000e-02,3.003099049463e+02,2.158003617272e-02,2.278909706276e-01,7.505276159955e-01,1.261031536994e-06,7.226328370949e+02
1.376250000000e-02,3.003793451830e+02,2.155419029378e-02,2.278976613538e-01,7.505463054484e-01,1.687501017068e-06,1.014629630428e+03
1.376875000000e-02,3.004661454136e+02,2.152513961981e-02,2.279051167134e-01,7.505672624076e-01,2.271750844938e-06,1.429403055463e+03
1.377500000000e-02,3.005746516479e+02,2.149249149139e-02,2.279134073444e-01,7.505907449773e-01,3.071989078992e-06,2.019943222959e+03
1.378125000000e-02,3.007103001333e+02,2.145580638974e-02,2.279226036044e-01,7.506170347763e-01,4.167821345817e-06,2.863608336832e+03
