Pos,T,H2,O2,N2,H2O,Q
0.000000000000e+00,3.000000000000e+02,1.131620369552e-02,2.302735662017e-01,7.584102301079e-01,1.246863064235e-12,3.484421274631e+01
7.400000000000e-03,3.000000149893e+02,1.131347825422e-02,2.302741328936e-01,7.584123887750e-01,7.589562056771e-11,8.504813062050e-04
1.040000000000e-02,3.000002170454e+02,1.129779554922e-02,2.302773893441e-01,7.584248136702e-01,1.363426426340e-09,1.700828478745e-02
1.120000000000e-02,3.000009065616e+02,1.127345841501e-02,2.302824311289e-01,7.584441032566e-01,6.944523995836e-09,9.065013936676e-02
1.160000000000e-02,3.000025373407e+02,1.124277851724e-02,2.302887676318e-01,7.584684299653e-01,2.324216279824e-08,2.712611232262e-01
1.180000000000e-02,3.000048749882e+02,1.121577627692e-02,2.302943243562e-01,7.584898470563e-01,5.113257144527e-08,5.288308793111e-01
1.200000000000e-02,3.000101279825e+02,1.117509377797e-02,2.303026626492e-01,7.585221170617e-01,1.241298251168e-07,1.095520337564e+00
1.205000000000e-02,3.000124630769e+02,1.116170621384e-02,2.303053947543e-01,7.585327353535e-01,1.607616134850e-07,1.343037725892e+00
1.210000000000e-02,3.000155261223e+02,1.114662521807e-02,2.303084637758e-01,7.585446952091e-01,2.121695581982e-07,1.663235220487e+00
1.220000000000e-02,3.000245175863e+02,1.111074520341e-02,2.303157330161e-01,7.585731388969e-01,3.771107922863e-07,2.584641019194e+00
1.225000000000e-02,3.000311181925e+02,1.108940464374e-02,2.303200324928e-01,7.585900460412e-01,5.094362811700e-07,3.248249022526e+00
1.230000000000e-02,3.000397814194e+02,1.106536904608e-02,2.303248508435e-01,7.586090754587e-01,6.950946592495e-07,4.105430726655e+00
1.235000000000e-02,3.000511524794e+02,1.103830031585e-02,2.303302453342e-01,7.586304863594e-01,9.555023073445e-07,5.212309710521e+00
1.240000000000e-02,3.000660828150e+02,1.100781736876e-02,2.303362777772e-01,7.586545675887e-01,1.320795890550e-06,6.641219411941e+00
1.242500000000e-02,3.000753007744e+02,1.099113477391e-02,2.303395575207e-01,7.586677301360e-01,1.558580177915e-06,7.511750200560e+00
1.245000000000e-02,3.000859631104e+02,1.097340125482e-02,2.303430254788e-01,7.586817070818e-01,1.844223880214e-06,8.508496170260e+00
1.250000000000e-02,3.001123034347e+02,1.093458633133e-02,2.303505523249e-01,7.587122439688e-01,2.587812633785e-06,1.093496605389e+01
1.252500000000e-02,3.001285740704e+02,1.091334697059e-02,2.303546302900e-01,7.587289165320e-01,3.071801429387e-06,1.241300545529e+01
1.255000000000e-02,3.001474007634e+02,1.089077238068e-02,2.303589299084e-01,7.587466044336e-01,3.653124157537e-06,1.410519750536e+01
1.257500000000e-02,3.001691864787e+02,1.086677958334e-02,2.303634585855e-01,7.587653635671e-01,4.351284834579e-06,1.604291536367e+01
1.260000000000e-02,3.001943998026e+02,1.084128046846e-02,2.303682229123e-01,7.587852517516e-01,5.189772273049e-06,1.826190415462e+01
1.262500000000e-02,3.002235822565e+02,1.081418176246e-02,2.303732284017e-01,7.588063283991e-01,6.196682059649e-06,2.080320860400e+01
1.265000000000e-02,3.002573632141e+02,1.078538446120e-02,2.303784790829e-01,7.588286543832e-01,7.405810539885e-06,2.371406261107e+01
1.267500000000e-02,3.002964721721e+02,1.075478372182e-02,2.303839770571e-01,7.588522915532e-01,8.857682947558e-06,2.704883482744e+01
1.270000000000e-02,3.003417553841e+02,1.072226850014e-02,2.303897219344e-01,7.588773022843e-01,1.060091651125e-05,3.087021761245e+01
1.272500000000e-02,3.003941947542e+02,1.068772123248e-02,2.303957101453e-01,7.589037488623e-01,1.269382601528e-05,3.525063077596e+01
1.275000000000e-02,3.004549298230e+02,1.065101751084e-02,2.304019341005e-01,7.589316927102e-01,1.520634426702e-05,4.027390873461e+01
1.277500000000e-02,3.005252833596e+02,1.061202575355e-02,2.304083811647e-01,7.589611934245e-01,1.822231789434e-05,4.603734314700e+01
1.280000000000e-02,3.006067911523e+02,1.057060687411e-02,2.304150324044e-01,7.589923075765e-01,2.184224998725e-05,5.265418154259e+01
1.281875000000e-02,3.006764108357e+02,1.053785271735e-02,2.304201370040e-01,7.590167370722e-01,2.503277736686e-05,5.826387662593e+01
1.283750000000e-02,3.007543249065e+02,1.050357379176e-02,2.304253229699e-01,7.590421269130e-01,2.870193988207e-05,6.450290814531e+01
1.285625000000e-02,3.008415300104e+02,1.046770142081e-02,2.304305703633e-01,7.590684935826e-01,3.292118997652e-05,7.144660011633e+01
1.287500000000e-02,3.009391437208e+02,1.043016414442e-02,2.304358546783e-01,7.590958502344e-01,3.777255453702e-05,7.918016741475e+01
1.289375000000e-02,3.010484193418e+02,1.039088765083e-02,2.304411460530e-01,7.591242059309e-01,4.335017509969e-05,8.780073016215e+01
1.290312500000e-02,3.011079560212e+02,1.037056740150e-02,2.304437806243e-01,7.591387607866e-01,4.645218148686e-05,9.248547599268e+01
1.291250000000e-02,3.011710532846e+02,1.034977770337e-02,2.304463995129e-01,7.591535666281e-01,4.978614191795e-05,9.744149606626e+01
1.292187500000e-02,3.012379258308e+02,1.032850814187e-02,2.304489964675e-01,7.591686227324e-01,5.336927559803e-05,1.026866590199e+02
1.293125000000e-02,3.013088014549e+02,1.030674824764e-02,2.304515645990e-01,7.591839277810e-01,5.722007573449e-05,1.082398399778e+02
1.294062500000e-02,3.013839218034e+02,1.028448720883e-02,2.304540964031e-01,7.591994800529e-01,6.135838178560e-05,1.141211413182e+02
1.295000000000e-02,3.014635431817e+02,1.026171417537e-02,2.304565836339e-01,7.592152771345e-01,6.580548994793e-05,1.203524142032e+02
1.295937500000e-02,3.015479375840e+02,1.023841793377e-02,2.304590173214e-01,7.592313161306e-01,7.058424908763e-05,1.269570740859e+02
1.296875000000e-02,3.016373934008e+02,1.021458725228e-02,2.304613876341e-01,7.592475933438e-01,7.571917167240e-05,1.339606949312e+02
1.297812500000e-02,3.017322166314e+02,1.019021054453e-02,2.304636838900e-01,7.592641044873e-01,8.123654559301e-05,1.413907520123e+02
1.298750000000e-02,3.018327320426e+02,1.016527611296e-02,2.304658944149e-01,7.592808444244e-01,8.716459094462e-05,1.492772228485e+02
