Pos,T,H2,O2,N2,H2O,Q
0.000000000000e+00,3.000000000000e+02,2.069357275036e-02,2.280894941084e-01,7.512169331380e-01,1.067696441920e-15,-1.844153266889e+01
6.400000000000e-03,3.000000000140e+02,2.069357192004e-02,2.280894943284e-01,7.512169337482e-01,3.716188959816e-13,3.566244961205e-04
1.120000000000e-02,3.000000019946e+02,2.069350812539e-02,2.280895112344e-01,7.512169806357e-01,1.251391623311e-12,1.710722835910e-04
1.280000000000e-02,3.000000802745e+02,2.069225421013e-02,2.280898434403e-01,7.512179022860e-01,5.105358339886e-11,8.209929430060e-03
1.340000000000e-02,3.000012962872e+02,2.068241506257e-02,2.280924485235e-01,7.512251350731e-01,1.175634543033e-09,1.472357540824e-01
1.355000000000e-02,3.000057908482e+02,2.066324998175e-02,2.280975166227e-01,7.512392254196e-01,7.161415347993e-09,7.889319843539e-01
1.360000000000e-02,3.000127979219e+02,2.064529510425e-02,2.281022554810e-01,7.512524274210e-01,1.996922789036e-08,2.397047595008e+00
1.365000000000e-02,3.000326948657e+02,2.061109421815e-02,2.281112588988e-01,7.512775732703e-01,6.748064688630e-08,9.360887082359e+00
1.367500000000e-02,3.000563759223e+02,2.058239500954e-02,2.281187863549e-01,7.512986671424e-01,1.395006730981e-07,2.330505602725e+01
1.370000000000e-02,3.001018658404e+02,2.054072975012e-02,2.281296661175e-01,7.513292698041e-01,3.090311989531e-07,6.159210660212e+01
1.371250000000e-02,3.001403296407e+02,2.051284299617e-02,2.281369083450e-01,7.513497303895e-01,4.798487477969e-07,1.073479920012e+02
1.372500000000e-02,3.001965264660e+02,2.047866766376e-02,2.281457335046e-01,7.513747724118e-01,7.662197881680e-07,1.903149279033e+02
1.373125000000e-02,3.002343445173e+02,2.045869183549e-02,2.281508611625e-01,7.513893884179e-01,9.820377033023e-07,2.578976044301e+02
1.373750000000e-02,3.002808874603e+02,2.043646726033e-02,2.281565357643e-01,7.514056277639e-01,1.270807093719e-06,3.513940871610e+02
1.374375000000e-02,3.003381720742e+02,2.041174277858e-02,2.281628087910e-01,7.514236636040e-01,1.657148275829e-06,4.811606159651e+02
1.375000000000e-02,3.004086823901e+02,2.038423977727e-02,2.281697341961e-01,7.514436851184e-01,2.173967395773e-06,6.616180083364e+02
1.375625000000e-02,3.004954781517e+02,2.035364937788e-02,2.281773675804e-01,7.514658981394e-01,2.865231059803e-06,9.131333509077e+02
1.376250000000e-02,3.006023284299e+02,2.031962939870e-02,2.281857649035e-01,7.514905254672e-01,3.789661622597e-06,1.264828450982e+03
1.376562500000e-02,3.006650138694e+02,2.030119038076e-02,2.281902703734e-01,7.515038352329e-01,4.368777766816e-06,1.494039518079e+03
1.376875000000e-02,3.007349438715e+02,2.028172004828e-02,2.281949895040e-01,7.515178573390e-01,5.045459762648e-06,1.767330002567e+03
1.377187500000e-02,3.008129583791e+02,2.026116164151e-02,2.281999276368e-01,7.515326254048e-01,5.836110717575e-06,2.093713535312e+03
1.377500000000e-02,3.008999922698e+02,2.023945562854e-02,2.282050892552e-01,7.515481737950e-01,6.759831311581e-06,2.484053476580e+03
1.377812500000e-02,3.009970913253e+02,2.021653914476e-02,2.282104777320e-01,7.515645377438e-01,7.838957461461e-06,2.951557535265e+03
1.378125000000e-02,3.011054205977e+02,2.019234635224e-02,2.282160951814e-01,7.515817527373e-01,9.099498720722e-06,3.512358991002e+03
1.378437500000e-02,3.012262804356e+02,2.016680798675e-02,2.282219419769e-01,7.515998546887e-01,1.057179946262e-05,4.186283856490e+03
1.378750000000e-02,3.013611215749e+02,2.013985130949e-02,2.282280163928e-01,7.516188795862e-01,1.229123505305e-05,4.997817809171e+03
1.379062500000e-02,3.015115623918e+02,2.011139997920e-02,2.282343141264e-01,7.516388631946e-01,1.429903298708e-05,5.977368395948e+03
1.379375000000e-02,3.016794080837e+02,2.008137392770e-02,2.282408277323e-01,7.516598406968e-01,1.664322423535e-05,7.162922352884e+03
1.379687500000e-02,3.018666719779e+02,2.004968924085e-02,2.282475459549e-01,7.516818462651e-01,1.937974431994e-05,8.602242584481e+03
1.380000000000e-02,3.020755991836e+02,2.001625804695e-02,2.282544529417e-01,7.517049125525e-01,2.257370622700e-05,1.035580892619e+04
1.380312500000e-02,3.023086928204e+02,1.998098841526e-02,2.282615273170e-01,7.517290700932e-01,2.630087009017e-05,1.250079470031e+04
1.380625000000e-02,3.025687430706e+02,1.994378426761e-02,2.282687410952e-01,7.517543465996e-01,3.064933763036e-05,1.513650227500e+04
1.380937500000e-02,3.028588593181e+02,1.990454530733e-02,2.282760584128e-01,7.517807661700e-01,3.572150258764e-05,1.839187927028e+04
1.381093750000e-02,3.030164919718e+02,1.988412250188e-02,2.282797388136e-01,7.517944126665e-01,3.857392661547e-05,2.031246774123e+04
1.381250000000e-02,3.031832320475e+02,1.986314376125e-02,2.282834230138e-01,7.518083529573e-01,4.166316292483e-05,2.245970378328e+04
1.381406250000e-02,3.033596033820e+02,1.984159497801e-02,2.282871026738e-01,7.518225881847e-01,4.500861294489e-05,2.486457493375e+04
1.381562500000e-02,3.035461594913e+02,1.981946176824e-02,2.282907685083e-01,7.518371189933e-01,4.863123096372e-05,2.756287074522e+04
1.381718750000e-02,3.037434851838e+02,1.979672947294e-02,2.282944102019e-01,7.518519454797e-01,5.255364322496e-05,3.059606972528e+04
